Reporting country,Reference period,Item,Business type,Item code,Value,Date of extraction (yyyymmdd),"Number of submissions (per reporting country, reference date and undertaking type)"
EEA,2024 Q4,Reinsurers' share,Life,R1420,52544.780524,20250930,1697
EEA,2024 Q4,Net,Life,R1500,701583.672928,20250930,1697
EEA,2024 Q4,Premiums earned,Life,R1501,,20250930,1697
EEA,2024 Q4,Gross,Life,R1510,744929.071385,20250930,1697
EEA,2024 Q4,Reinsurers' share,Life,R1520,52475.738102,20250930,1697
EEA,2024 Q4,Net,Life,R1600,692453.333282,20250930,1697
EEA,2024 Q4,Claims incurred,Life,R1601,,20250930,1697
EEA,2024 Q4,Gross,Life,R1610,661123.484779,20250930,1697
EEA,2024 Q4,Reinsurers' share,Life,R1620,37526.933767,20250930,1697
EEA,2024 Q4,Net,Life,R1700,623596.551013,20250930,1697
EEA,2024 Q4,Changes in other technical provisions,Life,R1701,,20250930,1697
EEA,2024 Q4,Gross,Life,R1710,,20250930,1697
EEA,2024 Q4,Reinsurers' share,Life,R1720,,20250930,1697
EEA,2024 Q4,Net,Life,R1800,,20250930,1697
EEA,2024 Q4,Expenses incurred,Life,R1900,82313.345317,20250930,1697
EEA,2024 Q4,Other expenses,Life,R2500,,20250930,1697
EEA,2024 Q4,Balance - other technical expenses/income,Life,R2510,-3104.820192,20250930,1697
EEA,2024 Q4,Total technical expenses,Life,R2600,79208.525128,20250930,1697
EEA,2024 Q4,Net Combined Ratio,Non-Life,Z0001,0.96,20250930,1697
EEA,2024 Q4,Net Expense Ratio,Non-Life,Z0002,0.28,20250930,1697
EEA,2025 Q1,Premiums written,Non-Life,R0101,,20250930,1689
EEA,2025 Q1,Gross - Direct Business,Non-Life,R0110,212853.298425,20250930,1689
EEA,2025 Q1,Gross - Proportional reinsurance accepted,Non-Life,R0120,61906.436886,20250930,1689
EEA,2025 Q1,Gross - Non-proportional reinsurance accepted,Non-Life,R0130,18898.559456,20250930,1689
EEA,2025 Q1,Reinsurers' share,Non-Life,R0140,74655.215158,20250930,1689
EEA,2025 Q1,Net,Non-Life,R0200,219003.079614,20250930,1689
EEA,2025 Q1,Premiums earned,Non-Life,R0201,,20250930,1689
EEA,2025 Q1,Gross - Direct Business,Non-Life,R0210,144644.649442,20250930,1689
EEA,2025 Q1,Gross - Proportional reinsurance accepted,Non-Life,R0220,42316.026433,20250930,1689
EEA,2025 Q1,Gross - Non-proportional reinsurance accepted,Non-Life,R0230,10054.144518,20250930,1689
EEA,2025 Q1,Reinsurers' share,Non-Life,R0240,50194.274789,20250930,1689
EEA,2025 Q1,Net,Non-Life,R0300,146820.545604,20250930,1689
EEA,2025 Q1,Claims incurred,Non-Life,R0301,,20250930,1689
EEA,2025 Q1,Gross - Direct Business,Non-Life,R0310,89183.280351,20250930,1689
EEA,2025 Q1,Gross - Proportional reinsurance accepted,Non-Life,R0320,25468.132147,20250930,1689
EEA,2025 Q1,Gross - Non-proportional reinsurance accepted,Non-Life,R0330,6222.691405,20250930,1689
EEA,2025 Q1,Reinsurers' share,Non-Life,R0340,25615.676105,20250930,1689
EEA,2025 Q1,Net,Non-Life,R0400,95258.427802,20250930,1689
EEA,2025 Q1,Changes in other technical provisions,Non-Life,R0401,,20250930,1689
EEA,2025 Q1,Reinsurers' share,Non-Life,R0440,,20250930,1689
EEA,2025 Q1,Net,Non-Life,R0500,,20250930,1689
EEA,2025 Q1,Expenses incurred,Non-Life,R0550,46823.24657,20250930,1689
EEA,2025 Q1,Other expenses,Non-Life,R1200,,20250930,1689
EEA,2025 Q1,Balance - other technical expenses/income,Non-Life,R1210,1692.611931,20250930,1689
EEA,2025 Q1,Total technical expenses,Non-Life,R1300,48515.858501,20250930,1689
EEA,2025 Q1,Premiums written,Life,R1401,,20250930,1689
EEA,2025 Q1,Gross,Life,R1410,213175.827293,20250930,1689
EEA,2025 Q1,Reinsurers' share,Life,R1420,10261.08637,20250930,1689
EEA,2025 Q1,Net,Life,R1500,202914.740927,20250930,1689
EEA,2025 Q1,Premiums earned,Life,R1501,,20250930,1689
EEA,2025 Q1,Gross,Life,R1510,208261.304448,20250930,1689
EEA,2025 Q1,Reinsurers' share,Life,R1520,9634.478192,20250930,1689
EEA,2025 Q1,Net,Life,R1600,198626.82626,20250930,1689
EEA,2025 Q1,Claims incurred,Life,R1601,,20250930,1689
EEA,2025 Q1,Gross,Life,R1610,171280.051513,20250930,1689
EEA,2025 Q1,Reinsurers' share,Life,R1620,716.147448,20250930,1689
EEA,2025 Q1,Net,Life,R1700,170563.904063,20250930,1689
EEA,2025 Q1,Changes in other technical provisions,Life,R1701,,20250930,1689
EEA,2025 Q1,Gross,Life,R1710,,20250930,1689
EEA,2025 Q1,Reinsurers' share,Life,R1720,,20250930,1689
EEA,2025 Q1,Net,Life,R1800,,20250930,1689
EEA,2025 Q1,Expenses incurred,Life,R1900,20648.605038,20250930,1689
EEA,2025 Q1,Other expenses,Life,R2500,,20250930,1689
EEA,2025 Q1,Balance - other technical expenses/income,Life,R2510,816.969951,20250930,1689
EEA,2025 Q1,Total technical expenses,Life,R2600,21465.574986,20250930,1689
EEA,2025 Q1,Net Combined Ratio,Non-Life,Z0001,0.97,20250930,1689
EEA,2025 Q1,Net Expense Ratio,Non-Life,Z0002,0.32,20250930,1689
EEA,2025 Q2,Premiums written,Non-Life,R0101,,20250930,1684
EEA,2025 Q2,Gross - Direct Business,Non-Life,R0110,340181.405007,20250930,1684
EEA,2025 Q2,Gross - Proportional reinsurance accepted,Non-Life,R0120,103699.771258,20250930,1684
EEA,2025 Q2,Gross - Non-proportional reinsurance accepted,Non-Life,R0130,25411.108563,20250930,1684
EEA,2025 Q2,Reinsurers' share,Non-Life,R0140,118730.728721,20250930,1684
EEA,2025 Q2,Net,Non-Life,R0200,350561.556121,20250930,1684
EEA,2025 Q2,Premiums earned,Non-Life,R0201,,20250930,1684
EEA,2025 Q2,Gross - Direct Business,Non-Life,R0210,287103.041786,20250930,1684
EEA,2025 Q2,Gross - Proportional reinsurance accepted,Non-Life,R0220,85922.3203,20250930,1684
EEA,2025 Q2,Gross - Non-proportional reinsurance accepted,Non-Life,R0230,19387.56258,20250930,1684
EEA,2025 Q2,Reinsurers' share,Non-Life,R0240,99125.716154,20250930,1684
EEA,2025 Q2,Net,Non-Life,R0300,293287.208524,20250930,1684
EEA,2025 Q2,Claims incurred,Non-Life,R0301,,20250930,1684
EEA,2025 Q2,Gross - Direct Business,Non-Life,R0310,180168.12505,20250930,1684
EEA,2025 Q2,Gross - Proportional reinsurance accepted,Non-Life,R0320,57479.465835,20250930,1684
EEA,2025 Q2,Gross - Non-proportional reinsurance accepted,Non-Life,R0330,5990.33648,20250930,1684
EEA,2025 Q2,Reinsurers' share,Non-Life,R0340,52569.268752,20250930,1684
EEA,2025 Q2,Net,Non-Life,R0400,191068.658617,20250930,1684
EEA,2025 Q2,Changes in other technical provisions,Non-Life,R0401,,20250930,1684
EEA,2025 Q2,Reinsurers' share,Non-Life,R0440,,20250930,1684
EEA,2025 Q2,Net,Non-Life,R0500,,20250930,1684
EEA,2025 Q2,Expenses incurred,Non-Life,R0550,88011.024544,20250930,1684
EEA,2025 Q2,Other expenses,Non-Life,R1200,,20250930,1684
EEA,2025 Q2,Balance - other technical expenses/income,Non-Life,R1210,1687.590597,20250930,1684
EEA,2025 Q2,Total technical expenses,Non-Life,R1300,89675.745154,20250930,1684
EEA,2025 Q2,Premiums written,Life,R1401,,20250930,1684
EEA,2025 Q2,Gross,Life,R1410,414604.930952,20250930,1684
EEA,2025 Q2,Reinsurers' share,Life,R1420,20052.29231,20250930,1684
EEA,2025 Q2,Net,Life,R1500,394552.638646,20250930,1684
EEA,2025 Q2,Premiums earned,Life,R1501,,20250930,1684
EEA,2025 Q2,Gross,Life,R1510,410464.083223,20250930,1684
EEA,2025 Q2,Reinsurers' share,Life,R1520,19629.747146,20250930,1684
EEA,2025 Q2,Net,Life,R1600,390834.336081,20250930,1684
EEA,2025 Q2,Claims incurred,Life,R1601,,20250930,1684
EEA,2025 Q2,Gross,Life,R1610,330701.603908,20250930,1684
EEA,2025 Q2,Reinsurers' share,Life,R1620,10813.257987,20250930,1684
EEA,2025 Q2,Net,Life,R1700,319888.345917,20250930,1684
EEA,2025 Q2,Changes in other technical provisions,Life,R1701,,20250930,1684
EEA,2025 Q2,Gross,Life,R1710,,20250930,1684
EEA,2025 Q2,Reinsurers' share,Life,R1720,,20250930,1684
EEA,2025 Q2,Net,Life,R1800,,20250930,1684
EEA,2025 Q2,Expenses incurred,Life,R1900,40861.318574,20250930,1684
EEA,2025 Q2,Other expenses,Life,R2500,,20250930,1684
EEA,2025 Q2,Balance - other technical expenses/income,Life,R2510,333.844938,20250930,1684
EEA,2025 Q2,Total technical expenses,Life,R2600,41101.395413,20250930,1684
EEA,2025 Q2,Net Combined Ratio,Non-Life,Z0001,0.95,20250930,1684
EEA,2025 Q2,Net Expense Ratio,Non-Life,Z0002,0.3,20250930,1684
ESTONIA,2016 Q3,Premiums written,Non-Life,R0101,,20250930,12
ESTONIA,2016 Q3,Gross - Direct Business,Non-Life,R0110,328.380619,20250930,12
ESTONIA,2016 Q3,Gross - Proportional reinsurance accepted,Non-Life,R0120,0.028587,20250930,12
ESTONIA,2016 Q3,Gross - Non-proportional reinsurance accepted,Non-Life,R0130,0.0,20250930,12
ESTONIA,2016 Q3,Reinsurers' share,Non-Life,R0140,20.771645,20250930,12
ESTONIA,2016 Q3,Net,Non-Life,R0200,307.637561,20250930,12
ESTONIA,2016 Q3,Premiums earned,Non-Life,R0201,,20250930,12
ESTONIA,2016 Q3,Gross - Direct Business,Non-Life,R0210,319.325321,20250930,12
ESTONIA,2016 Q3,Gross - Proportional reinsurance accepted,Non-Life,R0220,0.014985,20250930,12
ESTONIA,2016 Q3,Gross - Non-proportional reinsurance accepted,Non-Life,R0230,0.0,20250930,12
ESTONIA,2016 Q3,Reinsurers' share,Non-Life,R0240,20.288005,20250930,12
ESTONIA,2016 Q3,Net,Non-Life,R0300,299.052301,20250930,12
ESTONIA,2016 Q3,Claims incurred,Non-Life,R0301,,20250930,12
ESTONIA,2016 Q3,Changes in other technical provisions,Non-Life,R0401,,20250930,12
ESTONIA,2016 Q3,Gross - Direct Business,Non-Life,R0410,0.00839,20250930,12
ESTONIA,2016 Q3,Gross - Proportional reinsurance accepted,Non-Life,R0420,0.0,20250930,12
ESTONIA,2016 Q3,Gross - Non-proportional reinsurance accepted,Non-Life,R0430,0.0,20250930,12
ESTONIA,2016 Q3,Reinsurers' share,Non-Life,R0440,0.0,20250930,12
ESTONIA,2016 Q3,Net,Non-Life,R0500,0.00839,20250930,12
ESTONIA,2016 Q3,Premiums written,Life,R1401,,20250930,12
ESTONIA,2016 Q3,Premiums earned,Life,R1501,,20250930,12
ESTONIA,2016 Q3,Claims incurred,Life,R1601,,20250930,12
ESTONIA,2016 Q3,Changes in other technical provisions,Life,R1701,,20250930,12
ESTONIA,2016 Q4,Premiums written,Non-Life,R0101,,20250930,12
ESTONIA,2016 Q4,Gross - Direct Business,Non-Life,R0110,438.20749,20250930,12
ESTONIA,2016 Q4,Gross - Proportional reinsurance accepted,Non-Life,R0120,0.024281,20250930,12
ESTONIA,2016 Q4,Gross - Non-proportional reinsurance accepted,Non-Life,R0130,-0.057628,20250930,12
ESTONIA,2016 Q4,Reinsurers' share,Non-Life,R0140,27.202968,20250930,12
ESTONIA,2016 Q4,Net,Non-Life,R0200,410.971176,20250930,12
ESTONIA,2016 Q4,Premiums earned,Non-Life,R0201,,20250930,12
ESTONIA,2016 Q4,Gross - Direct Business,Non-Life,R0210,430.897643,20250930,12
ESTONIA,2016 Q4,Gross - Proportional reinsurance accepted,Non-Life,R0220,0.021643,20250930,12
ESTONIA,2016 Q4,Gross - Non-proportional reinsurance accepted,Non-Life,R0230,-0.055206,20250930,12
ESTONIA,2016 Q4,Reinsurers' share,Non-Life,R0240,27.457678,20250930,12
ESTONIA,2016 Q4,Net,Non-Life,R0300,403.406402,20250930,12
ESTONIA,2016 Q4,Claims incurred,Non-Life,R0301,,20250930,12
ESTONIA,2016 Q4,Changes in other technical provisions,Non-Life,R0401,,20250930,12
ESTONIA,2016 Q4,Gross - Direct Business,Non-Life,R0410,0.634203,20250930,12
ESTONIA,2016 Q4,Gross - Proportional reinsurance accepted,Non-Life,R0420,0.0,20250930,12
ESTONIA,2016 Q4,Gross - Non-proportional reinsurance accepted,Non-Life,R0430,0.0,20250930,12
ESTONIA,2016 Q4,Reinsurers' share,Non-Life,R0440,-0.004194,20250930,12
ESTONIA,2016 Q4,Net,Non-Life,R0500,0.638397,20250930,12
ESTONIA,2016 Q4,Premiums written,Life,R1401,,20250930,12
ESTONIA,2016 Q4,Premiums earned,Life,R1501,,20250930,12
ESTONIA,2016 Q4,Claims incurred,Life,R1601,,20250930,12
ESTONIA,2016 Q4,Changes in other technical provisions,Life,R1701,,20250930,12
ESTONIA,2017 Q1,Premiums written,Non-Life,R0101,,20250930,12
ESTONIA,2017 Q1,Gross - Direct Business,Non-Life,R0110,122.32389,20250930,12
ESTONIA,2017 Q1,Gross - Proportional reinsurance accepted,Non-Life,R0120,0.022028,20250930,12
ESTONIA,2017 Q1,Gross - Non-proportional reinsurance accepted,Non-Life,R0130,0.0,20250930,12
ESTONIA,2017 Q1,Reinsurers' share,Non-Life,R0140,9.027023,20250930,12
ESTONIA,2017 Q1,Net,Non-Life,R0200,113.318895,20250930,12
ESTONIA,2017 Q1,Premiums earned,Non-Life,R0201,,20250930,12
ESTONIA,2017 Q1,Gross - Direct Business,Non-Life,R0210,111.038388,20250930,12
ESTONIA,2017 Q1,Gross - Proportional reinsurance accepted,Non-Life,R0220,0.009935,20250930,12
ESTONIA,2017 Q1,Gross - Non-proportional reinsurance accepted,Non-Life,R0230,0.0,20250930,12
ESTONIA,2017 Q1,Reinsurers' share,Non-Life,R0240,6.847861,20250930,12
ESTONIA,2017 Q1,Net,Non-Life,R0300,104.200462,20250930,12
ESTONIA,2017 Q1,Claims incurred,Non-Life,R0301,,20250930,12
ESTONIA,2017 Q1,Gross - Direct Business,Non-Life,R0310,66.88535,20250930,12
ESTONIA,2017 Q1,Gross - Proportional reinsurance accepted,Non-Life,R0320,0.000437,20250930,12
ESTONIA,2017 Q1,Gross - Non-proportional reinsurance accepted,Non-Life,R0330,0.017043,20250930,12
ESTONIA,2017 Q1,Reinsurers' share,Non-Life,R0340,2.637467,20250930,12
ESTONIA,2017 Q1,Net,Non-Life,R0400,64.265362,20250930,12
ESTONIA,2017 Q1,Changes in other technical provisions,Non-Life,R0401,,20250930,12
ESTONIA,2017 Q1,Gross - Direct Business,Non-Life,R0410,0.043305,20250930,12
ESTONIA,2017 Q1,Gross - Proportional reinsurance accepted,Non-Life,R0420,0.0,20250930,12
ESTONIA,2017 Q1,Gross - Non-proportional reinsurance accepted,Non-Life,R0430,0.0,20250930,12
ESTONIA,2017 Q1,Reinsurers' share,Non-Life,R0440,0.0,20250930,12
ESTONIA,2017 Q1,Net,Non-Life,R0500,0.043305,20250930,12
ESTONIA,2017 Q1,Expenses incurred,Non-Life,R0550,33.534373,20250930,12
ESTONIA,2017 Q1,Other expenses,Non-Life,R1200,0.204729,20250930,12
ESTONIA,2017 Q1,Balance - other technical expenses/income,Non-Life,R1210,,20250930,12
ESTONIA,2017 Q1,Total technical expenses,Non-Life,R1300,33.739102,20250930,12
ESTONIA,2017 Q1,Premiums written,Life,R1401,,20250930,12
ESTONIA,2017 Q1,Premiums earned,Life,R1501,,20250930,12
ESTONIA,2017 Q1,Claims incurred,Life,R1601,,20250930,12
ESTONIA,2017 Q1,Changes in other technical provisions,Life,R1701,,20250930,12
ESTONIA,2017 Q1,Net Combined Ratio,Non-Life,Z0001,0.94,20250930,12
ESTONIA,2017 Q1,Net Expense Ratio,Non-Life,Z0002,0.32,20250930,12
ESTONIA,2017 Q2,Premiums written,Non-Life,R0101,,20250930,12
ESTONIA,2017 Q2,Gross - Direct Business,Non-Life,R0110,248.532987,20250930,12
ESTONIA,2017 Q2,Gross - Proportional reinsurance accepted,Non-Life,R0120,0.022028,20250930,12
ESTONIA,2017 Q2,Gross - Non-proportional reinsurance accepted,Non-Life,R0130,0.0,20250930,12
ESTONIA,2017 Q2,Reinsurers' share,Non-Life,R0140,16.032862,20250930,12
ESTONIA,2017 Q2,Net,Non-Life,R0200,232.522154,20250930,12
ESTONIA,2017 Q2,Premiums earned,Non-Life,R0201,,20250930,12
ESTONIA,2017 Q2,Gross - Direct Business,Non-Life,R0210,228.103806,20250930,12
ESTONIA,2017 Q2,Gross - Proportional reinsurance accepted,Non-Life,R0220,0.019614,20250930,12
ESTONIA,2017 Q2,Gross - Non-proportional reinsurance accepted,Non-Life,R0230,0.0,20250930,12
ESTONIA,2017 Q2,Reinsurers' share,Non-Life,R0240,13.969093,20250930,12
ESTONIA,2017 Q2,Net,Non-Life,R0300,214.154327,20250930,12
ESTONIA,2017 Q2,Claims incurred,Non-Life,R0301,,20250930,12
ESTONIA,2017 Q2,Gross - Direct Business,Non-Life,R0310,132.171765,20250930,12
ESTONIA,2017 Q2,Gross - Proportional reinsurance accepted,Non-Life,R0320,-0.001276,20250930,12
ESTONIA,2017 Q2,Gross - Non-proportional reinsurance accepted,Non-Life,R0330,0.00415,20250930,12
ESTONIA,2017 Q2,Reinsurers' share,Non-Life,R0340,5.544472,20250930,12
ESTONIA,2017 Q2,Net,Non-Life,R0400,126.630167,20250930,12
ESTONIA,2017 Q2,Changes in other technical provisions,Non-Life,R0401,,20250930,12
ESTONIA,2017 Q2,Gross - Direct Business,Non-Life,R0410,0.103982,20250930,12
ESTONIA,2017 Q2,Gross - Proportional reinsurance accepted,Non-Life,R0420,0.0,20250930,12
ESTONIA,2017 Q2,Gross - Non-proportional reinsurance accepted,Non-Life,R0430,0.0,20250930,12
ESTONIA,2017 Q2,Reinsurers' share,Non-Life,R0440,0.0,20250930,12
ESTONIA,2017 Q2,Net,Non-Life,R0500,0.103982,20250930,12
ESTONIA,2017 Q2,Expenses incurred,Non-Life,R0550,67.300412,20250930,12
ESTONIA,2017 Q2,Other expenses,Non-Life,R1200,0.945654,20250930,12
ESTONIA,2017 Q2,Balance - other technical expenses/income,Non-Life,R1210,,20250930,12
ESTONIA,2017 Q2,Total technical expenses,Non-Life,R1300,68.246066,20250930,12
ESTONIA,2017 Q2,Premiums written,Life,R1401,,20250930,12
ESTONIA,2017 Q2,Premiums earned,Life,R1501,,20250930,12
ESTONIA,2017 Q2,Claims incurred,Life,R1601,,20250930,12
ESTONIA,2017 Q2,Changes in other technical provisions,Life,R1701,,20250930,12
ESTONIA,2017 Q2,Net Combined Ratio,Non-Life,Z0001,0.91,20250930,12
ESTONIA,2017 Q2,Net Expense Ratio,Non-Life,Z0002,0.31,20250930,12
ESTONIA,2017 Q3,Premiums written,Non-Life,R0101,,20250930,11
ESTONIA,2017 Q3,Gross - Direct Business,Non-Life,R0110,374.213412,20250930,11
ESTONIA,2017 Q3,Gross - Proportional reinsurance accepted,Non-Life,R0120,0.022028,20250930,11
ESTONIA,2017 Q3,Gross - Non-proportional reinsurance accepted,Non-Life,R0130,0.0,20250930,11
ESTONIA,2017 Q3,Reinsurers' share,Non-Life,R0140,22.869757,20250930,11
ESTONIA,2017 Q3,Net,Non-Life,R0200,351.365683,20250930,11
ESTONIA,2017 Q3,Premiums earned,Non-Life,R0201,,20250930,11
ESTONIA,2017 Q3,Gross - Direct Business,Non-Life,R0210,352.514715,20250930,11
ESTONIA,2017 Q3,Gross - Proportional reinsurance accepted,Non-Life,R0220,0.008336,20250930,11
ESTONIA,2017 Q3,Gross - Non-proportional reinsurance accepted,Non-Life,R0230,0.0,20250930,11
ESTONIA,2017 Q3,Reinsurers' share,Non-Life,R0240,21.499395,20250930,11
ESTONIA,2017 Q3,Net,Non-Life,R0300,331.023656,20250930,11
ESTONIA,2017 Q3,Claims incurred,Non-Life,R0301,,20250930,11
ESTONIA,2017 Q3,Gross - Direct Business,Non-Life,R0310,207.01942,20250930,11
ESTONIA,2017 Q3,Gross - Proportional reinsurance accepted,Non-Life,R0320,0.000526,20250930,11
ESTONIA,2017 Q3,Gross - Non-proportional reinsurance accepted,Non-Life,R0330,0.00415,20250930,11
ESTONIA,2017 Q3,Reinsurers' share,Non-Life,R0340,14.675031,20250930,11
ESTONIA,2017 Q3,Net,Non-Life,R0400,192.349065,20250930,11
ESTONIA,2017 Q3,Changes in other technical provisions,Non-Life,R0401,,20250930,11
ESTONIA,2017 Q3,Gross - Direct Business,Non-Life,R0410,0.096413,20250930,11
ESTONIA,2017 Q3,Gross - Proportional reinsurance accepted,Non-Life,R0420,0.0,20250930,11
ESTONIA,2017 Q3,Gross - Non-proportional reinsurance accepted,Non-Life,R0430,0.0,20250930,11
ESTONIA,2017 Q3,Reinsurers' share,Non-Life,R0440,0.0,20250930,11
ESTONIA,2017 Q3,Net,Non-Life,R0500,0.096413,20250930,11
ESTONIA,2017 Q3,Expenses incurred,Non-Life,R0550,101.513176,20250930,11
ESTONIA,2017 Q3,Other expenses,Non-Life,R1200,1.425915,20250930,11
ESTONIA,2017 Q3,Balance - other technical expenses/income,Non-Life,R1210,,20250930,11
ESTONIA,2017 Q3,Total technical expenses,Non-Life,R1300,102.939091,20250930,11
ESTONIA,2017 Q3,Premiums written,Life,R1401,,20250930,11
ESTONIA,2017 Q3,Premiums earned,Life,R1501,,20250930,11
ESTONIA,2017 Q3,Claims incurred,Life,R1601,,20250930,11
ESTONIA,2017 Q3,Changes in other technical provisions,Life,R1701,,20250930,11
ESTONIA,2017 Q3,Net Combined Ratio,Non-Life,Z0001,0.89,20250930,11
ESTONIA,2017 Q3,Net Expense Ratio,Non-Life,Z0002,0.31,20250930,11
ESTONIA,2017 Q4,Premiums written,Non-Life,R0101,,20250930,10
ESTONIA,2017 Q4,Gross - Direct Business,Non-Life,R0110,504.247399,20250930,10
ESTONIA,2017 Q4,Gross - Proportional reinsurance accepted,Non-Life,R0120,0.022028,20250930,10
ESTONIA,2017 Q4,Gross - Non-proportional reinsurance accepted,Non-Life,R0130,0.0,20250930,10
ESTONIA,2017 Q4,Reinsurers' share,Non-Life,R0140,30.327525,20250930,10
ESTONIA,2017 Q4,Net,Non-Life,R0200,473.941901,20250930,10
ESTONIA,2017 Q4,Premiums earned,Non-Life,R0201,,20250930,10
ESTONIA,2017 Q4,Gross - Direct Business,Non-Life,R0210,480.878188,20250930,10
ESTONIA,2017 Q4,Gross - Proportional reinsurance accepted,Non-Life,R0220,0.0193,20250930,10
ESTONIA,2017 Q4,Gross - Non-proportional reinsurance accepted,Non-Life,R0230,0.0,20250930,10
ESTONIA,2017 Q4,Reinsurers' share,Non-Life,R0240,29.310935,20250930,10
ESTONIA,2017 Q4,Net,Non-Life,R0300,451.586553,20250930,10
ESTONIA,2017 Q4,Claims incurred,Non-Life,R0301,,20250930,10
ESTONIA,2017 Q4,Gross - Direct Business,Non-Life,R0310,271.715995,20250930,10
ESTONIA,2017 Q4,Gross - Proportional reinsurance accepted,Non-Life,R0320,0.000973,20250930,10
ESTONIA,2017 Q4,Gross - Non-proportional reinsurance accepted,Non-Life,R0330,0.00415,20250930,10
ESTONIA,2017 Q4,Reinsurers' share,Non-Life,R0340,12.40815,20250930,10
ESTONIA,2017 Q4,Net,Non-Life,R0400,259.312968,20250930,10
ESTONIA,2017 Q4,Changes in other technical provisions,Non-Life,R0401,,20250930,10
ESTONIA,2017 Q4,Gross - Direct Business,Non-Life,R0410,0.587693,20250930,10
ESTONIA,2017 Q4,Gross - Proportional reinsurance accepted,Non-Life,R0420,0.0,20250930,10
ESTONIA,2017 Q4,Gross - Non-proportional reinsurance accepted,Non-Life,R0430,0.0,20250930,10
ESTONIA,2017 Q4,Reinsurers' share,Non-Life,R0440,0.0,20250930,10
ESTONIA,2017 Q4,Net,Non-Life,R0500,0.587693,20250930,10
ESTONIA,2017 Q4,Expenses incurred,Non-Life,R0550,139.600343,20250930,10
ESTONIA,2017 Q4,Other expenses,Non-Life,R1200,3.240566,20250930,10
ESTONIA,2017 Q4,Balance - other technical expenses/income,Non-Life,R1210,,20250930,10
ESTONIA,2017 Q4,Total technical expenses,Non-Life,R1300,142.840908,20250930,10
ESTONIA,2017 Q4,Premiums written,Life,R1401,,20250930,10
ESTONIA,2017 Q4,Gross,Life,R1410,202.547749,20250930,10
ESTONIA,2017 Q4,Reinsurers' share,Life,R1420,3.204021,20250930,10
ESTONIA,2017 Q4,Net,Life,R1500,199.343729,20250930,10
ESTONIA,2017 Q4,Premiums earned,Life,R1501,,20250930,10
ESTONIA,2017 Q4,Gross,Life,R1510,202.59098,20250930,10
ESTONIA,2017 Q4,Reinsurers' share,Life,R1520,3.204291,20250930,10
ESTONIA,2017 Q4,Net,Life,R1600,199.38669,20250930,10
ESTONIA,2017 Q4,Claims incurred,Life,R1601,,20250930,10
ESTONIA,2017 Q4,Gross,Life,R1610,118.030411,20250930,10
ESTONIA,2017 Q4,Reinsurers' share,Life,R1620,2.681833,20250930,10
ESTONIA,2017 Q4,Net,Life,R1700,115.348578,20250930,10
ESTONIA,2017 Q4,Changes in other technical provisions,Life,R1701,,20250930,10
ESTONIA,2017 Q4,Gross,Life,R1710,63.37004,20250930,10
ESTONIA,2017 Q4,Reinsurers' share,Life,R1720,0.0,20250930,10
ESTONIA,2017 Q4,Net,Life,R1800,63.37004,20250930,10
ESTONIA,2017 Q4,Expenses incurred,Life,R1900,27.499021,20250930,10
ESTONIA,2017 Q4,Other expenses,Life,R2500,0.509028,20250930,10
ESTONIA,2017 Q4,Balance - other technical expenses/income,Life,R2510,,20250930,10
ESTONIA,2017 Q4,Total technical expenses,Life,R2600,28.008049,20250930,10
ESTONIA,2017 Q4,Net Combined Ratio,Non-Life,Z0001,0.88,20250930,10
ESTONIA,2017 Q4,Net Expense Ratio,Non-Life,Z0002,0.31,20250930,10
ESTONIA,2018 Q1,Premiums written,Non-Life,R0101,,20250930,10
ESTONIA,2018 Q1,Gross - Direct Business,Non-Life,R0110,157.371835,20250930,10
ESTONIA,2018 Q1,Gross - Proportional reinsurance accepted,Non-Life,R0120,0.026212,20250930,10
ESTONIA,2018 Q1,Gross - Non-proportional reinsurance accepted,Non-Life,R0130,0.0,20250930,10
ESTONIA,2018 Q1,Reinsurers' share,Non-Life,R0140,11.055549,20250930,10
ESTONIA,2018 Q1,Net,Non-Life,R0200,146.342498,20250930,10
ESTONIA,2018 Q1,Premiums earned,Non-Life,R0201,,20250930,10
ESTONIA,2018 Q1,Gross - Direct Business,Non-Life,R0210,130.054561,20250930,10
ESTONIA,2018 Q1,Gross - Proportional reinsurance accepted,Non-Life,R0220,0.01108,20250930,10
ESTONIA,2018 Q1,Gross - Non-proportional reinsurance accepted,Non-Life,R0230,0.0,20250930,10
ESTONIA,2018 Q1,Reinsurers' share,Non-Life,R0240,8.26029,20250930,10
ESTONIA,2018 Q1,Net,Non-Life,R0300,121.805352,20250930,10
ESTONIA,2018 Q1,Claims incurred,Non-Life,R0301,,20250930,10
ESTONIA,2018 Q1,Gross - Direct Business,Non-Life,R0310,75.65112,20250930,10
ESTONIA,2018 Q1,Gross - Proportional reinsurance accepted,Non-Life,R0320,0.000169,20250930,10
ESTONIA,2018 Q1,Gross - Non-proportional reinsurance accepted,Non-Life,R0330,-0.01252,20250930,10
ESTONIA,2018 Q1,Reinsurers' share,Non-Life,R0340,2.779847,20250930,10
ESTONIA,2018 Q1,Net,Non-Life,R0400,72.858922,20250930,10
ESTONIA,2018 Q1,Changes in other technical provisions,Non-Life,R0401,,20250930,10
ESTONIA,2018 Q1,Gross - Direct Business,Non-Life,R0410,0.141906,20250930,10
